timestamp,frame_type,frame_subtype,source_mac,destination_mac,receiver_mac,transmitter_mac,bssid,ssid,rssi,channel,frequency,is_protected,retry
1778942814.4125571,management,beacon,d8:d7:75:45:81:24,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,d8:d7:75:45:81:24,d8:d7:75:45:81:24,FunBox2-8124,-48,1,2412,False,False
1778942814.5163538,data,data,d8:d7:75:45:81:24,33:33:ff:20:1f:1a,33:33:ff:20:1f:1a,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,-46,1,2412,True,False
1778942814.5166714,control,ack,,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,,,-83,1,2412,False,False
1778942814.5168371,control,ack,,50:02:91:e8:18:ec,50:02:91:e8:18:ec,,,,-51,1,2412,False,False
1778942814.5170438,control,ack,,50:02:91:e8:18:ec,50:02:91:e8:18:ec,,,,-50,1,2412,False,False
1778942814.5213966,data,data,d8:d7:75:45:81:24,33:33:00:00:00:16,33:33:00:00:00:16,d8:d7:75:45:81:24,a0:29:42:95:01:2d,,-48,1,2412,True,False
1778942814.5232575,data,data,d8:d7:75:45:81:24,33:33:00:00:00:16,33:33:00:00:00:16,d8:d7:75:45:81:24,a0:29:42:95:01:2d,,-49,1,2412,True,False
1778942814.5250509,data,data,d8:d7:75:45:81:24,33:33:00:01:00:03,33:33:00:01:00:03,d8:d7:75:45:81:24,a0:29:42:95:01:2d,,-47,1,2412,True,False
1778942814.5278995,data,data,d8:d7:75:45:81:24,01:00:5e:00:00:fc,01:00:5e:00:00:fc,d8:d7:75:45:81:24,a0:29:42:95:01:2d,,-49,1,2412,True,False
1778942814.528207,control,ack,,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,,,-83,1,2412,False,False
1778942814.5297332,data,data,d8:d7:75:45:81:24,33:33:00:00:00:01,33:33:00:00:00:01,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,-49,1,2412,True,False
1778942814.5314488,data,data,d8:d7:75:45:81:24,33:33:00:00:00:01,33:33:00:00:00:01,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,-49,1,2412,True,False
1778942814.5333436,data,data,d8:d7:75:45:81:24,33:33:00:00:00:01,33:33:00:00:00:01,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,-49,1,2412,True,False
1778942814.5336707,control,ack,,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,,,-84,1,2412,False,False
1778942814.5537367,data,data,d8:d7:75:45:81:24,33:33:00:00:00:16,33:33:00:00:00:16,d8:d7:75:45:81:24,a0:29:42:95:01:2d,,-48,1,2412,True,False
1778942814.5540257,control,ack,,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,,,-84,1,2412,False,False
1778942814.5569031,data,data,d8:d7:75:45:81:24,33:33:00:00:00:fb,33:33:00:00:00:fb,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,-50,1,2412,True,False
1778942814.559052,data,data,d8:d7:75:45:81:24,01:00:5e:00:00:fb,01:00:5e:00:00:fb,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,-49,1,2412,True,False
1778942814.5812547,management,probe_request,a0:29:42:95:01:2d,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,a0:29:42:95:01:2d,ff:ff:ff:ff:ff:ff,FunBox2-8124,-64,1,2412,False,False
1778942814.5848048,control,ack,,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,,,-63,1,2412,False,False
1778942814.6430368,management,probe_request,a0:29:42:95:01:2d,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,a0:29:42:95:01:2d,ff:ff:ff:ff:ff:ff,FunBox2-8124,-63,1,2412,False,False
1778942814.6436944,management,probe_response,d8:d7:75:45:81:24,a0:29:42:95:01:2d,a0:29:42:95:01:2d,d8:d7:75:45:81:24,d8:d7:75:45:81:24,FunBox2-8124,-48,1,2412,False,False
1778942814.643697,control,ack,,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,,,-63,1,2412,False,False
1778942814.7078896,data,data,d8:d7:75:45:81:24,33:33:00:01:00:03,33:33:00:01:00:03,d8:d7:75:45:81:24,a0:29:42:95:01:2d,,-48,1,2412,True,False
1778942814.7096558,data,data,d8:d7:75:45:81:24,01:00:5e:00:00:fc,01:00:5e:00:00:fc,d8:d7:75:45:81:24,a0:29:42:95:01:2d,,-50,1,2412,True,False
1778942814.718025,management,beacon,d8:d7:75:45:81:24,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,d8:d7:75:45:81:24,d8:d7:75:45:81:24,FunBox2-8124,-46,1,2412,False,False
1778942814.821889,management,beacon,d8:d7:75:45:81:24,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,d8:d7:75:45:81:24,d8:d7:75:45:81:24,FunBox2-8124,-48,1,2412,False,False
1778942814.924254,management,beacon,d8:d7:75:45:81:24,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,d8:d7:75:45:81:24,d8:d7:75:45:81:24,FunBox2-8124,-47,1,2412,False,False
1778942814.9507618,data,null_data,50:02:91:e8:18:ec,d8:d7:75:45:81:24,d8:d7:75:45:81:24,50:02:91:e8:18:ec,d8:d7:75:45:81:24,,-86,1,2412,False,False
1778942814.950773,control,ack,,50:02:91:e8:18:ec,50:02:91:e8:18:ec,,,,-49,1,2412,False,False
1778942815.2312758,management,beacon,d8:d7:75:45:81:24,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,d8:d7:75:45:81:24,d8:d7:75:45:81:24,FunBox2-8124,-48,1,2412,False,False
1778942815.434933,management,beacon,d8:d7:75:45:81:24,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,d8:d7:75:45:81:24,d8:d7:75:45:81:24,FunBox2-8124,-49,1,2412,False,False
1778942815.4368236,data,data,d8:d7:75:45:81:24,33:33:00:00:00:01,33:33:00:00:00:01,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,-48,1,2412,True,False
1778942815.4373226,control,ack,,d8:d7:75:45:81:24,d8:d7:75:45:81:24,,,,-85,1,2412,False,False
1778942815.4373255,data,null_data,50:02:91:e8:18:ec,d8:d7:75:45:81:24,d8:d7:75:45:81:24,50:02:91:e8:18:ec,d8:d7:75:45:81:24,,-81,1,2412,False,False
